station_id	name	lat	lon	capacity	num_bikes_available	num_docks_available
7000	Ft. York / Capreol Crt.	43.639832	-79.395954	31	20	11
7001	Lower Jarvis St / The Esplanade	43.647992	-79.370907	15	5	10
7002	St George St / Bloor St W	43.667333	-79.399429	19	1	18
7003	Madison Ave / Bloor St W	43.667158	-79.402761	15	2	13
7004	University Ave / Elm St	43.656518	-79.389099	11	0	11
7005	University Ave / King St W	43.648093	-79.384749	19	0	18
7006	Bay St / College St	43.66009	-79.385653	11	0	11
7007	College St / Huron St	43.658148	-79.398167	11	1	10
7008	Wellesley/Queen's Park	43.663376	-79.392125	19	9	10
7009	King St E / Jarvis St	43.650325	-79.372287	11	0	11
7010	King St W / Spadina Ave	43.645323	-79.395003	19	0	18
7011	Wellington St / Portland St	43.642982	-79.399256	11	5	4
7012	Elizabeth St / Edward St	43.656152	-79.385225	15	3	12
7013	Scott St / The Esplanade	43.64656	-79.375274	19	14	5
7014	Sherbourne / Carlton (Allan Gardens)	43.663102	-79.373181	17	10	6
7015	King St W / Bay St	43.64852	-79.380576	23	2	21
7016	Ferry Ramp / Queens Quay W	43.640823	-79.376265	23	2	18
7017	Widmer St / Adelaide St 	43.647145	-79.391479	19	4	15
7018	Bremner Blvd / Rees St	43.641529	-79.386741	15	12	3
7019	Temperance St / Yonge St	43.650855	-79.379492	27	1	26
7020	Phoebe St / Spadina Ave	43.650033	-79.396555	33	2	31
7021	Bay St / Albert St	43.653264	-79.382458	31	2	29
7022	Simcoe St / Queen St W	43.650858	-79.387582	27	0	26
7023	College St / Borden St	43.6571	-79.4056	11	10	1
7024	Dundonald St/ Church St	43.666725	-79.381351	11	11	0
7025	Ted Rogers Way	43.671293	-79.380471	27	4	22
7026	Bay St / St. Joseph St	43.665527	-79.387499	15	9	6
7027	Beverly  St / Dundas St W	43.652823	-79.393388	23	8	14
7028	Gould St / Mutual St	43.6582	-79.3768	31	4	27
7029	Bay St / Bloor St W	43.669429	-79.389326	15	1	14
7030	Bay St / Wellesley St W	43.664088	-79.387095	35	13	21
7031	Jarvis St / Isabella St	43.669192	-79.379128	23	3	20
7032	Augusta Ave / Dundas St W	43.652473	-79.401456	15	8	7
7033	Union Station	43.645566	-79.379438	27	27	0
7034	Church St / Bloor St E	43.671389	-79.382919	15	1	14
7035	Queen St / Ossington Ave	43.643975	-79.419576	23	12	11
7036	Trinity St/ Front St E	43.651318	-79.36023	11	9	2
7037	Bathurst St / Dundas St	43.6523	-79.4058	19	2	16
7038	Dundas St / Yonge St	43.656094	-79.381484	15	0	12
7039	Simcoe St / Dundas St W	43.653743	-79.38882	27	2	24
7040	Euclid Ave / Bloor St.	43.6643	-79.415	19	12	7
7041	Edward St / Yonge St	43.656729	-79.382736	23	0	22
7042	Sherbourne St / Wellesley St	43.6673	-79.374	33	14	19
7043	Queens Quay / Lower Simcoe	43.63951	-79.383717	19	11	7
7044	Church St / Alexander St	43.6636	-79.3806	15	13	2
7045	Bond St / Queen St E	43.653236	-79.376716	11	0	11
7046	Niagara St. / Richmond St. W.	43.64534	-79.409597	15	10	4
7047	University Ave / Gerrard St W	43.657763	-79.389165	11	2	9
7048	Front/Yonge (Hockey Hall of Fame)	43.646144	-79.377962	47	18	29
7049	Queen St / Portland St	43.6476	-79.4015	11	1	9
7050	Richmond St E / Jarvis St	43.652634	-79.374222	11	5	6
7051	Wellesley St E. / Yonge St	43.66506	-79.38357	17	3	14
7052	Wellington St W / Bay St	43.647259	-79.379878	27	1	26
7053	Metro Hall Plaza	43.645859	-79.38783	27	7	20
7054	Navy Wharf Ct. / Bremner Blvd.	43.640722	-79.391051	11	7	4
7055	Jarvis St / Carlton St	43.66207	-79.37617	15	14	1
7056	Parliament St / Gerrard St	43.661149	-79.366648	27	11	15
7057	Simcoe St / Wellington St W	43.645533	-79.3854	31	4	27
7058	Huron/ Harbord St	43.6637	-79.400053	19	1	17
7059	Front St W / Blue Jays Way	43.643473	-79.390477	15	11	3
7060	Princess Ave / Adelaide St	43.652123	-79.367139	19	11	8
7061	Bloor St / Brunswick Ave	43.665876	-79.407224	25	8	17
7062	University Ave / College St	43.659226	-79.390213	11	0	11
7063	Queens Park / Bloor St W	43.668327	-79.39355	19	1	18
7064	51 Parliament St	43.65205	-79.362198	19	6	12
7065	Dundas St / Parliament St	43.659575	-79.365769	15	15	0
7066	Willcocks St / St. George St	43.662237	-79.397716	17	0	16
7067	Yonge St. / Harbour St.	43.643795	-79.375413	39	17	22
7068	Dockside Dr / Queens Quay E.	43.644272	-79.367766	27	1	24
7069	Queen St W / Spadina Ave	43.649147	-79.395504	11	1	8
7070	25 York St (ACC/Union Station South)	43.643667	-79.380414	11	9	2
7072	Queen St W / Shaw St	43.644524	-79.416519	19	14	5
7073	Bremner / Spadina	43.640903	-79.392895	15	13	0
7074	Spadina Ave / Sussex Ave	43.664137	-79.402496	27	3	22
7075	Queens Quay W / Dan Leckie Way	43.636533	-79.395854	27	25	2
7076	York St / Queens Quay W	43.640132	-79.380464	27	7	20
7077	College Park South	43.659777	-79.382767	19	5	14
7078	College St / Major St	43.6576	-79.4032	11	7	4
7079	McGill St / Church St	43.660694	-79.379052	15	10	5
7083	Danforth/Barrington	43.688325	-79.300463	15	7	6
7084	Stephenson/Main	43.68704	-79.301915	15	7	7
7085	Danforth/Westlake	43.687393	-79.303888	15	5	10
7086	Cedarvale/Danforth	43.686829	-79.311073	19	8	11
7087	Danforth/Aldridge	43.684371	-79.316756	23	9	14
7088	Danforth/Coxwell	43.683378	-79.322961	15	13	2
7089	Church St / Wood	43.662712	-79.379903	19	4	15
7090	Danforth/Lamb	43.681991	-79.329455	15	2	13
7091	Danforth/Donlands	43.681329	-79.337506	11	11	0
7092	Lipton/Pape	43.680223	-79.344062	15	9	6
7093	Danforth/Gough	43.678401	-79.346289	15	7	8
7094	Chester/Danforth	43.678056	-79.352222	15	12	3
7095	Danforth/Ellerbeck	43.677076	-79.35667	14	3	11
7096	Boston/Queen	43.661508	-79.338931	15	11	4
7097	Montcrest/Broadview	43.671172	-79.354704	15	7	8
7098	Langley/Broadview	43.667819	-79.35347	15	8	7
7099	Cherry/Mill	43.651248	-79.357848	15	7	5
7100	Dundas/Regent Park Blvd	43.660207	-79.361275	18	18	0
7101	Lower Sherbourne/The Esplanade	43.647756	-79.366415	27	18	9
7102	Nelson/John	43.648711	-79.389728	27	12	18
7103	Jimmie Simpson Park	43.660176	-79.344946	11	6	5
7104	King/River	43.657071	-79.356598	15	14	1
7105	Queen/Sackville	43.6561111	-79.36138889	15	9	6
7106	Mill/Tannery	43.652219	-79.354455	15	6	8
7107	Cherry/Distillery Ln	43.650279	-79.356832	15	3	12
7108	Front/Cherry	43.652686	-79.358395	15	1	14
7109	Seaton/Dundas St E	43.658777	-79.369596	11	8	3
7111	King/Douro	43.640885	-79.416379	11	6	5
7112	Liberty/Fraser	43.637981	-79.424146	19	8	11
7113	Parliament/Aberdeen	43.665278	-79.368333	15	13	1
7114	Carlton/Parliament	43.664524	-79.36793	15	14	1
7115	Howard St./ Sherbourne St.	43.6712581	-79.376367	15	3	12
7116	Parliament/Bloor	43.671827	-79.371849	15	5	10
7117	Castle Frank/Bloor	43.674083	-79.368579	15	7	7
7118	King/Bay	43.648575	-79.380042	15	5	10
7119	Sumach/Winchester	43.66721	-79.362379	14	11	3
7120	Gerrard/River	43.663993	-79.358534	11	9	2
7121	Jarvis/Dundas	43.657266	-79.374756	15	7	7
7122	Niagara/Tecumseth	43.641389	-79.404444	15	9	6
7123	Portland/Stewart	43.643603	-79.399802	15	1	13
7124	Dundas/Broadview	43.662365	-79.351104	19	13	5
7126	Yonge/Yorkville	43.671944	-79.387778	17	1	16
7127	Bay/Davenport	43.672829	-79.390592	15	0	15
7128	Yonge/Aylmer	43.675492	-79.388858	15	8	7
7129	Davenport/Avenue	43.674991	-79.396273	11	5	6
7130	Davenport/Bedford	43.674613	-79.399807	15	1	14
7131	Taddle Creek Park	43.66986	-79.398443	15	3	12
7132	Kendal/Spadina	43.670303	-79.405416	15	3	12
7133	Summerhill Station	43.681944	-79.390556	11	4	7
7134	Marlborough/Yonge	43.68	-79.391111	23	0	23
7135	Hanna/Liberty	43.638333	-79.419722	15	15	0
7136	Queen/Close	43.640634	-79.435841	23	9	13
7137	Davenport/Bathurst	43.676667	-79.416111	15	6	9
7138	Davenport/Christie	43.675278	-79.423889	15	8	7
7139	Glen Edyth/Davenport	43.677778	-79.405556	15	4	11
7140	Macpherson/ Spadina	43.675791	-79.40698	15	7	8
7141	Bridgeman/Kendal	43.675556	-79.410278	15	0	15
